,Algorithm,Benchmark,Objective,Features,Findc,Rows Used,CL,tot_q,memb_q,rec_q,gen_q,top_lvl_q,qgen_q,tfs_q,tfc_q,avg_q_size,avg_gen_time,avg_t,max_t,ml_t_t,ml_p_t,tot_t,conv
random_growacq_max_viol_rel_dim_block_findc.csv,growacq,random,max_viol,rel_dim_block,findc,Last 20 of 12,495,5193.75,5193.75,0,0,824.25,824.25,3869.25,500.25,25.8876375,0.427425,0.0832375,2.7716375,88.3654375,33.9345375,432.1635125,1
random_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,random,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,495,4994.625,4994.625,0,0,1264.125,1264.125,3328.25,402.25,25.8189875,0.3044,0.092325,2.8163625,138.1730125,34.7825,461.047525,1
random_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,random,max_viol,rel_dim_block,guided-findc,Last 20 of 12,495,5166.875,5166.875,0,0,822.75,822.75,3851.125,493,25.8315375,0.42525,0.0829,2.6949125,88.0181625,33.592825,428.3768,1
random_growacq_obj_proba_rel_dim_block_findc.csv,growacq,random,obj_proba,rel_dim_block,findc,Last 20 of 12,495,4943.125,4943.125,0,0,1232,1232,3324.75,386.375,25.7581125,0.2960375,0.08875,2.8128875,129.7406,32.769075,438.6543875,1
gtsudoku_growacq_max_viol_rel_dim_block_findc.csv,growacq,gtsudoku,max_viol,rel_dim_block,findc,Last 20 of 12,848.625,5838.5,5838.5,0,0,1198.5,1198.5,4273.75,366.25,19.7951125,0.4317375,0.10105,2.3242625,55.0112625,24.3896,589.746525,1
gtsudoku_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,gtsudoku,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,851.5,1670,1670,0,0,1448,1448,186.25,35.75,18.5396625,0.2287125,0.2195875,2.5453125,72.3897125,16.588725,366.707975,1
gtsudoku_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,gtsudoku,max_viol,rel_dim_block,guided-findc,Last 20 of 12,848.875,5781.25,5781.25,0,0,1200.625,1200.625,4217.375,363.25,20.0875,0.427575,0.1011,2.37045,54.470325,23.9038125,584.4259625,1
gtsudoku_growacq_obj_proba_rel_dim_block_findc.csv,growacq,gtsudoku,obj_proba,rel_dim_block,findc,Last 20 of 12,849.5,1668.875,1668.875,0,0,1450.125,1450.125,183.875,34.875,18.4246875,0.2236,0.21475,2.4251,69.450225,15.97125,358.4186125,1
nurse_rostering_growacq_max_viol_rel_dim_block_findc.csv,growacq,nurse_rostering,max_viol,rel_dim_block,findc,Last 20 of 12,885,6907,6907,0,0,1914.125,1914.125,4604.625,388.25,26.6032625,0.4168625,0.13025,2.7276,81.0708125,34.0408875,899.3949875,1
nurse_rostering_growacq_obj_proba_rel_dim_block_findc.csv,growacq,nurse_rostering,obj_proba,rel_dim_block,findc,Last 20 of 12,885,2291.25,2291.25,0,0,2285.5,2285.5,3.375,2.375,24.6832125,0.24705,0.270675,2.7339625,97.587625,25.816025,620.1334625,1
nurse_rostering_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,nurse_rostering,max_viol,rel_dim_block,guided-findc,Last 20 of 12,885,6912.5,6912.5,0,0,1910.25,1910.25,4601.25,401,26.7807125,0.4307125,0.134075,2.7470375,81.915025,35.4214125,926.7436,1
nurse_rostering_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,nurse_rostering,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,885,2295.75,2295.75,0,0,2291.5,2291.5,2.25,2,24.6501,0.24815,0.2722375,2.8059875,99.8533,26.2882875,624.9815375,1
exam_timetable_growacq_max_viol_rel_dim_block_findc.csv,growacq,exam_timetable,max_viol,rel_dim_block,findc,Last 20 of 12,1040.75,4958.25,4958.25,0,0,1061.75,1061.75,3288.25,608.25,11.0993125,0.7221125,0.1700875,2.5732,20.1312875,27.8096375,842.9758875,1
exam_timetable_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,exam_timetable,max_viol,rel_dim_block,guided-findc,Last 20 of 12,1045.625,4924.875,4924.875,0,0,1061.875,1061.875,3272.75,590.25,11.257,0.71925,0.1704,2.56275,20.296225,27.940875,838.9532875,1
exam_timetable_growacq_obj_proba_rel_dim_block_findc.csv,growacq,exam_timetable,obj_proba,rel_dim_block,findc,Last 20 of 12,1073.625,1704.75,1704.75,0,0,1224.5,1224.5,382.875,97.375,17.53965,0.3585125,0.275875,2.59515,25.3617375,16.3721375,470.2392375,1
exam_timetable_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,exam_timetable,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,1069.875,1736.375,1736.375,0,0,1224.125,1224.125,409.75,102.5,17.3755375,0.3664125,0.2768625,2.7134,25.135125,17.2539875,480.7251625,1
jobshop_growacq_obj_proba_rel_dim_block_findc.csv,growacq,jobshop,obj_proba,rel_dim_block,findc,Last 20 of 12,328.75,1825.5,1825.5,0,0,653.125,653.125,961.375,211,41.9830125,0.709075,0.3244875,5.2751,110.2821625,49.8023375,592.1962125,1
jobshop_growacq_max_viol_rel_dim_block_findc.csv,growacq,jobshop,max_viol,rel_dim_block,findc,Last 20 of 12,292.25,1918.375,1918.375,0,0,599.625,599.625,1025.375,293.375,41.3831125,0.7694875,0.3118375,5.229675,100.879075,52.3047,597.9595375,1
jobshop_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,jobshop,max_viol,rel_dim_block,guided-findc,Last 20 of 12,292,1873.875,1873.875,0,0,596,596,1025,252.875,42.3390375,0.7742125,0.3187875,5.4880125,100.110275,52.6613125,597.0590625,1
jobshop_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,jobshop,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,348.75,1802.375,1802.375,0,0,655.75,655.75,961.25,185.375,42.3768125,0.7075375,0.3284875,5.14185,111.3328375,50.09965,592.060775,1
sudoku_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,sudoku,max_viol,rel_dim_block,guided-findc,Last 20 of 12,810,5764.5,5764.5,0,0,1195.75,1195.75,4227,341.75,19.2661,0.370225,0.088875,2.3707375,40.6781375,24.0283375,512.1868375,1
sudoku_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,sudoku,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,810,1456.375,1456.375,0,0,1441.25,1441.25,11.75,3.375,17.41795,0.17325,0.1922875,2.3441375,51.468175,15.0321375,280.0254125,1
sudoku_growacq_obj_proba_rel_dim_block_findc.csv,growacq,sudoku,obj_proba,rel_dim_block,findc,Last 20 of 12,810,1464.5,1464.5,0,0,1440.75,1440.75,18.5,5.25,17.365025,0.1755,0.194,2.4278125,51.8875,15.4255125,284.1127125,1
sudoku_growacq_max_viol_rel_dim_block_findc.csv,growacq,sudoku,max_viol,rel_dim_block,findc,Last 20 of 12,810,5735.5,5735.5,0,0,1202.75,1202.75,4194.25,338.5,19.2257125,0.3659625,0.0888875,2.319025,40.642375,23.949625,509.707775,1
jsudoku_growacq_max_viol_rel_dim_block_guided-findc.csv,growacq,jsudoku,max_viol,rel_dim_block,guided-findc,Last 20 of 12,811,5839.375,5839.375,0,0,1210.25,1210.25,4282.25,346.875,19.5070125,0.3947875,0.0938125,2.5433875,43.379625,23.868475,547.6398625,1
jsudoku_growacq_obj_proba_rel_dim_block_findc.csv,growacq,jsudoku,obj_proba,rel_dim_block,findc,Last 20 of 12,811,1916.875,1916.875,0,0,1508.75,1508.75,364.875,43.25,18.7570625,0.2047,0.1798,2.652025,57.5912,16.4545375,344.5719625,1
jsudoku_growacq_max_viol_rel_dim_block_findc.csv,growacq,jsudoku,max_viol,rel_dim_block,findc,Last 20 of 12,811,5835.75,5835.75,0,0,1211,1211,4278.625,346.125,19.4753,0.397025,0.0945625,2.571875,43.974525,24.4244,551.57115,1
jsudoku_growacq_obj_proba_rel_dim_block_guided-findc.csv,growacq,jsudoku,obj_proba,rel_dim_block,guided-findc,Last 20 of 12,811,1938,1938,0,0,1508.375,1508.375,388.375,41.25,18.8935,0.204175,0.1771875,2.5103125,57.1405625,16.292575,343.2513,1
