Classifier,Feature,Percentage,Accuracy,Balanced Accuracy,F1 Score
decision_tree,rel_dim,0.1,0.9948559670781894,0.9697225484439224,0.9384404924760602
decision_tree,rel_dim,0.2,0.9976851851851852,0.985201118374559,0.9716088328075708
decision_tree,rel_dim,0.3,0.9995590828924162,0.9997701853837904,0.9946140035906644
decision_tree,rel_dim,0.4,1.0,1.0,1.0
decision_tree,rel_dim,0.5,1.0,1.0,1.0
decision_tree,rel_dim,0.6,0.9981995884773662,0.9930793991416308,0.978328173374613
decision_tree,rel_dim,0.7,0.998971193415638,0.9994625582228592,0.9881422924901184
decision_tree,rel_dim,0.8,1.0,1.0,1.0
decision_tree,rel_dim,0.9,1.0,1.0,1.0
decision_tree,rel_dim_block,0.1,1.0,1.0,1.0
decision_tree,rel_dim_block,0.2,1.0,1.0,1.0
decision_tree,rel_dim_block,0.3,1.0,1.0,1.0
decision_tree,rel_dim_block,0.4,1.0,1.0,1.0
decision_tree,rel_dim_block,0.5,1.0,1.0,1.0
decision_tree,rel_dim_block,0.6,1.0,1.0,1.0
decision_tree,rel_dim_block,0.7,1.0,1.0,1.0
decision_tree,rel_dim_block,0.8,1.0,1.0,1.0
decision_tree,rel_dim_block,0.9,1.0,1.0,1.0
decision_tree,simple_rel,0.1,0.9583904892546868,0.5,0.0
decision_tree,simple_rel,0.2,0.9592335390946504,0.5,0.0
decision_tree,simple_rel,0.3,0.959288653733098,0.5,0.0
decision_tree,simple_rel,0.4,0.9580761316872428,0.5,0.0
decision_tree,simple_rel,0.5,0.9580246913580248,0.5,0.0
decision_tree,simple_rel,0.6,0.9588477366255144,0.5,0.0
decision_tree,simple_rel,0.7,0.9571330589849107,0.5,0.0
decision_tree,simple_rel,0.8,0.9591049382716048,0.5,0.0
decision_tree,simple_rel,0.9,0.9573045267489712,0.5,0.0
logistic_regression,rel_dim,0.1,0.9418152720621856,0.4913525763358778,0.0
logistic_regression,rel_dim,0.2,0.944187242798354,0.4921571256200563,0.0
logistic_regression,rel_dim,0.3,0.9452527924750148,0.492684234717328,0.0
logistic_regression,rel_dim,0.4,0.9434156378600824,0.4923489932885906,0.0
logistic_regression,rel_dim,0.5,0.943724279835391,0.4925365120274914,0.0
logistic_regression,rel_dim,0.6,0.943801440329218,0.4921539699570815,0.0
logistic_regression,rel_dim,0.7,0.9435871056241426,0.492923683267646,0.0
logistic_regression,rel_dim,0.8,0.944701646090535,0.4924912845266828,0.0
logistic_regression,rel_dim,0.9,0.941358024691358,0.491671144545943,0.0
logistic_regression,rel_dim_block,0.1,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.2,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.3,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.4,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.5,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.6,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.7,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.8,1.0,1.0,1.0
logistic_regression,rel_dim_block,0.9,1.0,1.0,1.0
