,Algorithm,Benchmark,Objective,Features,Classifier,Rows Used,CL,tot_q,memb_q,rec_q,gen_q,top_lvl_q,qgen_q,tfs_q,tfc_q,avg_q_size,avg_gen_time,avg_t,max_t,ml_t_t,ml_p_t,tot_t,conv
sudoku_growacq_obj_proba_simple_rel_logistic_regression_all.csv,growacq,sudoku,obj_proba,simple_rel,logistic_regression,Last 20 of 16,891,5050.875,5050.875,0,0,1269.125,1269.125,3014.125,767.625,11.99665,0.4088625,0.14765,2.066875,16.6534875,9.876425,745.8507375,1
sudoku_growacq_obj_class_rel_dim_block_random_forest_all.csv,growacq,sudoku,obj_class,rel_dim_block,random_forest,All 8,891,1458.125,1458.125,0,0,1428,1428,23,7.125,17.27435,0.5332625,0.561525,3.6953125,584.3695625,25.3628625,818.7700375,1
sudoku_growacq_obj_class_rel_dim_logistic_regression_all.csv,growacq,sudoku,obj_class,rel_dim,logistic_regression,Last 20 of 16,891,3023.625,3023.625,0,0,1096.5,1096.5,1571.875,355.25,11.5123125,0.2527375,0.138875,2.251075,53.66145,12.66265,388.872575,1
sudoku_growacq_obj_proba_rel_dim_block_logistic_regression_all.csv,growacq,sudoku,obj_proba,rel_dim_block,logistic_regression,Last 20 of 16,891,1449.125,1449.125,0,0,1437.25,1437.25,5.875,6,17.4037125,0.2147125,0.2363625,2.51785,125.4452125,13.7155375,342.5031625,1
sudoku_growacq_obj_proba2_rel_dim_block_svm_all.csv,growacq,sudoku,obj_proba2,rel_dim_block,svm,All 8,891,1489.125,1489.125,0,0,1469.125,1469.125,7.75,12.25,17.1965125,0.984625,1.0261375,6.218575,1269.011925,13.1729375,1528.04985,1
sudoku_growacq_obj_class_rel_dim_decision_tree_all.csv,growacq,sudoku,obj_class,rel_dim,decision_tree,All 8,891,1488.625,1488.625,0,0,1450.5,1450.5,32.625,5.5,17.1381,0.16575,0.184,2.2821125,39.1150875,13.114,273.89845,1
sudoku_growacq_obj_proba2_rel_dim_block_logistic_regression_all.csv,growacq,sudoku,obj_proba2,rel_dim_block,logistic_regression,Last 20 of 16,891,1439.625,1439.625,0,0,1435.875,1435.875,2,1.75,17.455,0.2496,0.27245,2.5874125,127.06075,13.7712625,392.236925,1
sudoku_growacq_obj_class_rel_dim_mlp_all.csv,growacq,sudoku,obj_class,rel_dim,mlp,All 8,810,1584.875,1584.875,0,0,1347.75,1347.75,203.5,33.625,15.9283625,0.9560125,0.872525,6.3630125,1159.247225,10.0372375,1379.555238,1
sudoku_growacq_obj_proba_rel_dim_random_forest_all.csv,growacq,sudoku,obj_proba,rel_dim,random_forest,All 8,891,1513.125,1513.125,0,0,1438.25,1438.25,58.5,16.375,17.0495375,0.5623375,0.5739125,3.7606625,621.5222125,23.5805125,868.1785375,1
sudoku_growacq_obj_class_simple_rel_mlp_all.csv,growacq,sudoku,obj_class,simple_rel,mlp,All 8,810,3524.5,3524.5,0,0,1345.75,1345.75,2026.625,152.125,12.0404875,0.4959625,0.227275,3.1045625,325.4653875,4.0351125,800.974075,1
sudoku_growacq_obj_proba2_rel_dim_random_forest_all.csv,growacq,sudoku,obj_proba2,rel_dim,random_forest,All 8,891,1493,1493,0,0,1468.625,1468.625,18.875,5.5,17.2641375,0.5626625,0.5916875,3.772475,629.390725,23.7317125,883.3124875,1
sudoku_growacq_obj_class_rel_dim_block_svm_all.csv,growacq,sudoku,obj_class,rel_dim_block,svm,All 8,891,1483.25,1483.25,0,0,1455.25,1455.25,13,15,17.2113125,0.9339125,0.9694,6.1993,1214.874113,12.35105,1437.765375,1
sudoku_growacq_obj_proba2_rel_dim_naive_bayes_all.csv,growacq,sudoku,obj_proba2,rel_dim,naive_bayes,All 8,810,3418,3418,0,0,3280,3280,110.5,27.5,26.975,0.4102125,0.40955,2.4582,74.3987125,26.7734125,1399.800713,1
sudoku_growacq_obj_proba_simple_rel_random_forest_all.csv,growacq,sudoku,obj_proba,simple_rel,random_forest,All 8,891,3571.375,3571.375,0,0,3033.375,3033.375,441.25,96.75,26.1267625,0.6158,0.5477375,2.8570125,780.7801125,31.5513375,1956.094475,1
sudoku_growacq_obj_proba2_simple_rel_naive_bayes_all.csv,growacq,sudoku,obj_proba2,simple_rel,naive_bayes,All 8,810,3656.75,3656.75,0,0,3250.875,3250.875,310.75,95.125,25.514375,0.3564625,0.3351125,2.2733875,24.29035,9.14645,1225.274338,1
