activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
relu,0.0001,"(64, 64)",0.001,0.9878749100712401,0.00258433069363482,0.9794465662311769,0.0035896553718652207,0.9982791445494398,0.00030706459660192,0.9982818930041152,0.00031079362943086,74.66279726028442,11.43450598494123
relu,0.001,"(64, 64)",0.001,0.9872844775299106,0.0038341032716039,0.9793510564058888,0.00304683433600578,0.998275566399605,0.00026812541826522,0.9982818930041153,0.00028137332980368,48.56388154029846,14.4927631751398
tanh,0.0001,"(128,)",0.001,0.9869623562488037,0.00255528742349034,0.9798582113118222,0.00348308605551568,0.9983225286910826,0.0002985700703965,0.9983333333333334,0.00029974823791830004,29.41252040863037,1.895540436729156
tanh,0.0001,"(64, 64)",0.001,0.9866056159203545,0.0040389902288841,0.9820649193582274,0.0035750256705314996,0.9985178754397228,0.00028945862131682,0.9985390946502057,0.00027526777857482,30.25495023727417,4.6287365934601725
tanh,0.001,"(32, 32)",0.001,0.9863474462640441,0.00457257595605512,0.9793049576545648,0.0039812047740281995,0.9982789212822384,0.00034582498272942003,0.9982921810699589,0.00035583958358822006,9.932303619384763,1.761617626606625
tanh,0.001,"(64, 64)",0.001,0.9863372330349888,0.0039136260045765205,0.9813292445516687,0.0033917238006892004,0.9984563793279945,0.00027644062965322006,0.998477366255144,0.00026576612327528003,17.69789061546326,3.0920587502524
tanh,0.001,"(128,)",0.001,0.9858451186065553,0.0024145079406478,0.9785768338607937,0.0044759694931863795,0.9982177666531691,0.00039476083664022,0.9982304526748971,0.00040988609994313996,19.30453858375549,2.1840513240878554
tanh,0.0001,"(32, 32)",0.001,0.9857086958902876,0.00366033757991262,0.980646481699248,0.00371422519836088,0.9984022629123723,0.00031007818477388,0.9984259259259259,0.00030593213954112,20.06876740455628,3.987592508381533
relu,0.01,"(64, 64)",0.001,0.9857039532425894,0.00459150347478098,0.9805179960291701,0.0022721798277821397,0.9983917961417793,0.00017240773700332,0.9984156378600823,0.00015838116928578,35.7983217716217,11.997209216126024
tanh,0.01,"(16, 16)",0.001,0.985651784455676,0.00379593170505844,0.9768461292056692,0.00398541068488812,0.9980682668587484,0.00036218594323902004,0.9980761316872429,0.00038645083510471996,6.508497095108032,0.920301232239953
