C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
0.1,balanced,0.1,linear,TRUE,0.993330814,0.001850906,0.910653849,0.008977707,0.991098251,0.001066605,0.989886831,0.00132296,31.41903281,9.286825509
0.1,balanced,scale,linear,TRUE,0.993330814,0.001850906,0.910653849,0.008977707,0.991098251,0.001066605,0.989886831,0.00132296,31.4834166,6.988599755
0.1,balanced,0.1,poly,TRUE,0.993494314,0.002329745,0.945696124,0.006932294,0.995032033,0.000690646,0.994674965,0.000788477,33.02460637,7.343646566
0.1,balanced,auto,linear,TRUE,0.993330814,0.001850906,0.910653849,0.008977707,0.991098251,0.001066605,0.989886831,0.00132296,33.3700572,5.001611724
0.1,balanced,0.01,linear,TRUE,0.993330814,0.001850906,0.910653849,0.008977707,0.991098251,0.001066605,0.989886831,0.00132296,36.11451044,4.608647151
100,balanced,0.01,rbf,TRUE,0.993758227,0.002041358,0.959734619,0.004509572,0.996426073,0.000428173,0.996265432,0.000467129,47.45614791,4.459551374
0.1,balanced,0.001,linear,TRUE,0.993330814,0.001850906,0.910653849,0.008977707,0.991098251,0.001066605,0.989886831,0.00132296,49.99727302,5.341372055
100,balanced,auto,rbf,TRUE,0.992973035,0.002202415,0.98086677,0.003249154,0.998367866,0.000282442,0.998353909,0.000290358,52.94932227,3.384220878
1,balanced,0.01,linear,TRUE,0.993761023,0.001988121,0.917030905,0.009169072,0.991907975,0.001040737,0.990936214,0.001264191,53.46783657,1.997554941
1,balanced,0.001,linear,TRUE,0.993761023,0.001988121,0.917030905,0.009169072,0.991907975,0.001040737,0.990936214,0.001264191,53.6552855,2.07322809
100,balanced,scale,rbf,TRUE,0.993806005,0.002332396,0.954441386,0.003801812,0.995916658,0.000379996,0.995699588,0.000430799,53.78130898,3.106549746
1,balanced,0.0001,linear,TRUE,0.993761023,0.001988121,0.917030905,0.009169072,0.991907975,0.001040737,0.990936214,0.001264191,54.48864889,2.744208195
100,balanced,0.01,poly,TRUE,0.993494314,0.002329745,0.945696124,0.006932294,0.995032033,0.000690646,0.994674965,0.000788477,55.12491479,3.41219604
