activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
relu,0.0001,"(64, 64)",0.001,0.966950573,0.016609666,0.941244715,0.019748778,0.995721579,0.001523614,0.995737236,0.001509227,54.51307774,22.91210271
relu,0.001,"(64, 64)",0.001,0.96018756,0.014682272,0.936266363,0.014789297,0.99531468,0.00113825,0.995357821,0.001142947,57.55393829,20.93073053
tanh,0.0001,"(128,)",0.01,0.95888992,0.023223034,0.932506817,0.015744484,0.994858256,0.0012493,0.994916904,0.001269839,12.63140221,8.242926432
tanh,0.0001,"(64,)",0.01,0.958170678,0.022399531,0.932375208,0.02198572,0.994914334,0.001738698,0.994973884,0.00172412,9.639447498,3.461340357
tanh,0.0001,"(32, 32)",0.01,0.95954636,0.01568237,0.931942809,0.01218359,0.99486171,0.000924426,0.994924366,0.000891073,8.803612566,3.79219856
tanh,0.001,"(64,)",0.01,0.95281582,0.022611175,0.931823684,0.018529793,0.994948582,0.001406678,0.995054267,0.001336,6.920421886,2.698434505
tanh,0.001,"(64, 64)",0.001,0.959461416,0.016700159,0.931771138,0.014372147,0.994907063,0.00105279,0.994962352,0.00103212,31.11371651,8.005053845
tanh,0.001,"(128,)",0.01,0.953486359,0.01762179,0.931015113,0.01304777,0.99483575,0.000967558,0.994926288,0.000930831,8.4577209,2.438766334
tanh,0.0001,"(64, 64)",0.001,0.959861809,0.017070704,0.931002262,0.016385982,0.99484331,0.001220731,0.994888414,0.00119674,35.48610749,10.74844953
tanh,0.0001,"(32,)",0.01,0.950268829,0.017840772,0.928200023,0.009871795,0.994615662,0.000680775,0.994724709,0.000621587,6.34515686,1.650483386
relu,0.0001,"(32, 32)",0.01,0.948867408,0.016809166,0.927246827,0.012140507,0.994550398,0.000836472,0.994679374,0.000758258,15.23230133,2.029027348
tanh,0.001,"(32, 32)",0.01,0.955297949,0.019001258,0.926705206,0.011760482,0.994466411,0.000864279,0.994544046,0.000840071,6.507935524,2.720524353
relu,0.01,"(64, 64)",0.001,0.95925064,0.023245978,0.926315888,0.0139736,0.994393442,0.00104084,0.994439244,0.00102532,39.34915018,21.58876517
tanh,0.0001,"(16,)",0.01,0.953257475,0.011147292,0.925820478,0.011402171,0.994364221,0.000866266,0.994473613,0.000832182,5.249446344,1.02926479
tanh,0.0001,"(32, 32)",0.001,0.950525956,0.016615029,0.925814457,0.00887715,0.994390029,0.000639563,0.994485823,0.000605841,10.15770502,2.265136722
tanh,0.01,"(128,)",0.01,0.950431261,0.018590066,0.925637423,0.01455532,0.994392631,0.001099465,0.994506738,0.001080983,9.71514473,2.065936451
tanh,0.001,"(16, 16)",0.001,0.9564988,0.012964501,0.925594919,0.009779484,0.99430891,0.000702512,0.994401257,0.000624271,10.00986581,1.899451126
tanh,0.001,"(32,)",0.01,0.945081367,0.019309013,0.92556313,0.014411371,0.99446721,0.000982337,0.994613802,0.000885728,5.79133935,2.01611126
relu,0.001,"(64,)",0.01,0.953002068,0.015860438,0.925438305,0.011796514,0.994300837,0.000898654,0.99440284,0.000846045,9.480328703,2.932430972
tanh,0.001,"(32, 32)",0.001,0.950264484,0.016615888,0.925327616,0.008322083,0.994348651,0.000593052,0.994444671,0.000557431,11.99582844,2.208102898
tanh,0.0001,"(16, 16)",0.001,0.956122148,0.013183855,0.924918837,0.010159877,0.994254916,0.000728788,0.994349817,0.000644653,8.762238646,1.51430078
relu,0.001,"(32, 32)",0.01,0.948037974,0.018014417,0.924786017,0.011480683,0.994358423,0.000812575,0.994481979,0.000759385,11.46120853,3.31178958
