C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
10.0,balanced,auto,rbf,True,0.9934259761490447,0.0021030983242107,0.9304127986465318,0.01423954927012106,0.9943058348831657,0.00122638761942312,0.9940430968208747,0.0013301079771309999,70.98837451934814,4.077925931758858
10.0,balanced,0.1,rbf,True,0.9933831436390242,0.0020265724796537403,0.9498716622884951,0.00739158794569508,0.9960969206638964,0.0005620079124972401,0.9959669651336318,0.00059498091699542,68.6437828540802,3.866085065211717
10.0,balanced,0.1,poly,True,0.9905555778390772,0.00229191832288244,0.8611910741753454,0.014421475981784379,0.9872327840642962,0.00151904637613578,0.9858958839514396,0.0018039189267336,4632.814112329483,547.2368116156719
100.0,balanced,auto,rbf,True,0.9904444102867125,0.0035208809548111205,0.9561059752064676,0.009069093496893301,0.9966812158676566,0.0006974015275821399,0.9966048252159364,0.00072507062246736,56.93780069351196,4.534719542210705
100.0,balanced,0.1,poly,True,0.9902904280460862,0.00178561035806052,0.8606686516929134,0.01340589797971472,0.9871896447081878,0.00140335612537466,0.9858547316880649,0.0016619318788013999,6581.704473876953,982.333035083868
1.0,balanced,0.1,poly,True,0.9901870448459633,0.0023300685865100595,0.8534326945435315,0.01432387507271358,0.9862995234210539,0.0015585192023327,0.9847426339093005,0.0018532924673015602,1121.332670402527,168.36220349140967
100.0,balanced,auto,poly,True,0.9901707166303998,0.00218706564513594,0.8607360012691215,0.01606686749283734,0.9871870878728173,0.00168977599726024,0.9858444436222215,0.00200278857115648,5418.206712675094,822.5364081076789
100.0,balanced,scale,rbf,True,0.9901427366333111,0.00247325531038304,0.8539249637149456,0.01575544804257168,0.9864061647532611,0.0016376333799537402,0.9848661420883644,0.0019791361847591197,72.85173296928406,4.209099609551242
10.0,balanced,auto,poly,True,0.9901267277461304,0.00245986704222004,0.8585747463131306,0.014463855381915119,0.9869297792776717,0.00153333819157762,0.985529203306981,0.00182940187530412,3480.106999921799,198.50600310840747
1.0,balanced,auto,poly,True,0.9892121506291588,0.00241462071167882,0.8409431412153199,0.014918461872247601,0.9847139988453157,0.0017926593871697197,0.9829323865434976,0.00212659664900294,528.504311990738,268.7695443286448
100.0,balanced,0.01,rbf,True,0.9889083235248748,0.0022366568985843598,0.8347500291416262,0.01433807813550464,0.9841525493127442,0.0015834359646236002,0.9820575001130557,0.0019815970173746402,78.48121485710143,3.29380091862864
100.0,balanced,0.1,rbf,True,0.9883712886043587,0.00494887302186046,0.9580145874386815,0.009251660371833281,0.996922967521043,0.00069809306189032,0.9968653054764165,0.00071953824142528,56.83441801071167,3.7882733086441065
100.0,balanced,scale,poly,True,0.9882272339573246,0.0020916833402368196,0.831750140623779,0.01660279755303536,0.9832625559810324,0.0020211350979229,0.9810613768947102,0.00246610632931184,264.09898858070375,102.13586083414997
0.1,balanced,0.1,poly,True,0.9852642085527867,0.00222171155111322,0.7940766857701147,0.0161295349961543,0.9786084488327166,0.00215384674143836,0.9754680915792026,0.0027037506747212003,184.4454388141632,37.373997875328826
100.0,balanced,0.01,poly,True,0.9852642071079213,0.00222852144446142,0.7940825132453686,0.0162149656419801,0.9786086437527814,0.00216657965919582,0.9754680915792026,0.00272077254062614,134.36014070510865,35.90403234084109
10.0,balanced,scale,rbf,True,0.9831540804559269,0.00226161799956102,0.7768358773495044,0.01285548005281934,0.9762096021130041,0.0016749831172071402,0.9717404406293294,0.00211566261997348,128.23127102851868,8.87186676688017
0.1,balanced,auto,poly,True,0.980374968747468,0.0025999941610404,0.7367557077491774,0.01672072683905284,0.9712055245908747,0.00264142348767184,0.9668804343804345,0.00332653520421438,146.11847653388978,16.7861157743014
10.0,balanced,scale,poly,True,0.9794230908185837,0.0028593321710457197,0.7557085345247531,0.01790798508266038,0.9706189826839076,0.00263464610969996,0.9661687900576791,0.0033824334654937,124.36763653755187,7.1545700564852215
1.0,balanced,0.1,rbf,True,0.9723515236585228,0.0021150066115743797,0.6874676460689181,0.00903160600198568,0.9601543622409817,0.00179707511623152,0.9508762019873132,0.0023103732672641797,126.10758337974548,6.944983016595799
10.0,balanced,0.01,rbf,True,0.9705996358831646,0.0051385712815483,0.6663266459905327,0.025679366035534577,0.9585147018486113,0.00528587663164282,0.9500705981261536,0.006294656829686799,134.90557613372803,7.204963351745275
10.0,balanced,0.01,poly,True,0.9702820315330847,0.0031568212098391003,0.6633049579470166,0.01594261836517258,0.9587322965295261,0.0028241976401972998,0.9512373429040096,0.00374453352865674,129.04617743492128,36.92888455863796
1.0,balanced,auto,rbf,True,0.9656560191338981,0.0024212231615567603,0.6394320039766204,0.008261077064982079,0.9502969739772096,0.0019648333074581198,0.938691750636195,0.00253975680668214,125.88818879127504,8.616640748985912
1.0,balanced,scale,poly,True,0.9475335074392117,0.00419039601927762,0.5637353557206565,0.010517797485423318,0.93033944714416,0.00224315584577702,0.9139242444798,0.0030461791090111,125.96109337806702,8.067025146375872
1.0,balanced,0.01,poly,True,0.9286266742079711,0.00445796910520624,0.45368907493697685,0.00648822533058602,0.9080515418656523,0.00215697322302422,0.8809574479018923,0.00304623276063434,145.07921290397644,4.5030767315748745
1.0,balanced,scale,rbf,True,0.9280818903191179,0.00465757392367008,0.45409894316970306,0.008050532803355461,0.905467103913991,0.0029605435324402797,0.8782871963427519,0.00406912582678734,177.56773347854613,12.955417460635362
1.0,balanced,0.01,rbf,True,0.9265559192070988,0.00442786920897614,0.4471023972110009,0.007907280766202101,0.9045877802568111,0.0028520891082293603,0.8764709159153604,0.00403142011245992,187.0877788066864,10.345894130877872
0.1,balanced,0.1,rbf,True,0.9260349794351141,0.00286940800736176,0.4478755753167298,0.004956987725376639,0.8976995757081146,0.0022273597565682602,0.8692049205938094,0.00308473615540332,307.6793167591095,19.001200506899888
0.1,balanced,auto,rbf,True,0.9258865362940206,0.0032898989528688796,0.44350019668060464,0.0064203020860175,0.8977635837200205,0.0028781844324135596,0.86862422556867,0.0039276004183738,336.961011505127,12.390407786252412
10.0,balanced,0.001,rbf,True,0.9254488888436965,0.00442371194820282,0.4440231719853502,0.007692751367894979,0.9057435049667101,0.0029050812155207396,0.8764858803747693,0.00427356579330698,210.8123483657837,11.0293508387214
100.0,balanced,0.001,rbf,True,0.9247485376103752,0.00576658747313296,0.44939775239504504,0.00755046927834412,0.9045550753986811,0.00263674868901842,0.8771695691140137,0.0036440460780295197,121.31862950325012,14.817485821166953
100.0,balanced,0.0001,rbf,True,0.9218946094039833,0.0050175649670601,0.4264638729128281,0.00851010206715532,0.898448765953949,0.00313881494062482,0.8652304382859939,0.00461692172027138,163.90894832611085,19.02295017640037
0.1,balanced,scale,poly,True,0.9209984969384004,0.0043444428038902,0.43404058570464576,0.006804239562903841,0.8977553057977904,0.00253963318666358,0.8669789367011589,0.00366554334852,205.19451117515564,18.25844544957661
100.0,balanced,0.1,linear,True,0.919206979682634,0.00939639300092894,0.4368941471508526,0.00755594219190252,0.8962742278939148,0.00485791907428772,0.8620495039939484,0.007393006810754099,1951.94722867012,108.09988473782036
100.0,balanced,scale,linear,True,0.919206979682634,0.00939639300092894,0.4368941471508526,0.00755594219190252,0.8962742278939148,0.00485791907428772,0.8620495039939484,0.007393006810754099,1941.1506811618808,86.55037006309223
100.0,balanced,0.0001,linear,True,0.919206979682634,0.00939639300092894,0.4368941471508526,0.00755594219190252,0.8962742278939148,0.00485791907428772,0.8620495039939484,0.007393006810754099,1874.0670277118684,72.34748767013328
100.0,balanced,auto,linear,True,0.919206979682634,0.00939639300092894,0.4368941471508526,0.00755594219190252,0.8962742278939148,0.00485791907428772,0.8620495039939484,0.007393006810754099,1941.1483472347256,90.2014437737218
100.0,balanced,0.001,linear,True,0.919206979682634,0.00939639300092894,0.4368941471508526,0.00755594219190252,0.8962742278939148,0.00485791907428772,0.8620495039939484,0.007393006810754099,1913.7201519966125,79.9168603117717
100.0,balanced,0.01,linear,True,0.919206979682634,0.00939639300092894,0.4368941471508526,0.00755594219190252,0.8962742278939148,0.00485791907428772,0.8620495039939484,0.007393006810754099,1937.9466022968293,94.21529924940222
1.0,balanced,0.001,linear,True,0.9190399255460575,0.009154305426776881,0.43671635123638664,0.007651111091134599,0.8962189181080014,0.0048487757301785795,0.8619671994671995,0.007376767114452761,233.42038803100587,5.986867921535502
1.0,balanced,0.01,linear,True,0.9190399255460575,0.009154305426776881,0.43671635123638664,0.007651111091134599,0.8962189181080014,0.0048487757301785795,0.8619671994671995,0.007376767114452761,244.33307633399963,16.499928969031718
1.0,balanced,0.0001,linear,True,0.9190399255460575,0.009154305426776881,0.43671635123638664,0.007651111091134599,0.8962189181080014,0.0048487757301785795,0.8619671994671995,0.007376767114452761,254.01507897377013,14.601842249667556
1.0,balanced,0.1,linear,True,0.9190399255460575,0.009154305426776881,0.43671635123638664,0.007651111091134599,0.8962189181080014,0.0048487757301785795,0.8619671994671995,0.007376767114452761,234.4049488067627,10.752711933438803
1.0,balanced,auto,linear,True,0.9190399255460575,0.009154305426776881,0.43671635123638664,0.007651111091134599,0.8962189181080014,0.0048487757301785795,0.8619671994671995,0.007376767114452761,245.2599102973938,9.580348525225968
1.0,balanced,scale,linear,True,0.9190399255460575,0.009154305426776881,0.43671635123638664,0.007651111091134599,0.8962189181080014,0.0048487757301785795,0.8619671994671995,0.007376767114452761,234.97553911209107,27.35111153397039
10.0,balanced,0.01,linear,True,0.9183652561512246,0.00982383632671472,0.43607614786795174,0.008876892883351481,0.8959571991192495,0.00535717126935882,0.861576252965142,0.00813543623249468,612.5748839855194,21.37745390126568
10.0,balanced,0.1,linear,True,0.9183652561512246,0.00982383632671472,0.43607614786795174,0.008876892883351481,0.8959571991192495,0.00535717126935882,0.861576252965142,0.00813543623249468,628.2150239944458,30.206326943451387
10.0,balanced,auto,linear,True,0.9183652561512246,0.00982383632671472,0.43607614786795174,0.008876892883351481,0.8959571991192495,0.00535717126935882,0.861576252965142,0.00813543623249468,631.7374661922455,16.11453235867211
10.0,balanced,0.001,linear,True,0.9183652561512246,0.00982383632671472,0.43607614786795174,0.008876892883351481,0.8959571991192495,0.00535717126935882,0.861576252965142,0.00813543623249468,596.7355411052704,17.41949309237167
10.0,balanced,scale,linear,True,0.9183652561512246,0.00982383632671472,0.43607614786795174,0.008876892883351481,0.8959571991192495,0.00535717126935882,0.861576252965142,0.00813543623249468,606.7354936122895,27.25122751559347
10.0,balanced,0.0001,linear,True,0.9183652561512246,0.00982383632671472,0.43607614786795174,0.008876892883351481,0.8959571991192495,0.00535717126935882,0.861576252965142,0.00813543623249468,571.3202800750732,15.353089514625326
0.1,balanced,0.0001,linear,True,0.9182869259984082,0.00941024170023984,0.4292483012099705,0.008063060186501821,0.8942315048441543,0.00500750997539776,0.8589338028226917,0.007615886640986979,161.67874727249145,10.40951420390193
0.1,balanced,scale,linear,True,0.9182869259984082,0.00941024170023984,0.4292483012099705,0.008063060186501821,0.8942315048441543,0.00500750997539776,0.8589338028226917,0.007615886640986979,166.56243853569032,17.552399246190298
0.1,balanced,0.01,linear,True,0.9182869259984082,0.00941024170023984,0.4292483012099705,0.008063060186501821,0.8942315048441543,0.00500750997539776,0.8589338028226917,0.007615886640986979,161.62784757614136,13.208645059079425
0.1,balanced,auto,linear,True,0.9182869259984082,0.00941024170023984,0.4292483012099705,0.008063060186501821,0.8942315048441543,0.00500750997539776,0.8589338028226917,0.007615886640986979,167.93940110206603,31.43079893861548
0.1,balanced,0.1,linear,True,0.9182869259984082,0.00941024170023984,0.4292483012099705,0.008063060186501821,0.8942315048441543,0.00500750997539776,0.8589338028226917,0.007615886640986979,166.7163188457489,24.34449909578608
0.1,balanced,0.001,linear,True,0.9182869259984082,0.00941024170023984,0.4292483012099705,0.008063060186501821,0.8942315048441543,0.00500750997539776,0.8589338028226917,0.007615886640986979,167.95913524627684,10.443934680841336
0.1,balanced,scale,rbf,True,0.9136211961890991,0.0039589884199053,0.4024386658266511,0.007530665757772401,0.8844039465128881,0.0035459148464229403,0.8479747104747105,0.00493878814938844,375.4624887943268,15.5689017157345
100.0,balanced,0.0001,sigmoid,True,0.9086784095510506,0.006977029445246261,0.39348439359637355,0.01167950454317894,0.8857425271440309,0.00539352909029002,0.8461433114210892,0.00783499675930186,201.5521713733673,6.7940685802327465
0.1,balanced,0.01,rbf,True,0.9075471530263668,0.00471927319648552,0.3790767567386312,0.00813162507212426,0.8764605443602147,0.0039857571481206,0.8356502756502756,0.00557353352057224,411.2604169845581,21.40822860583869
100.0,balanced,0.001,poly,True,0.9073594535038435,0.0037390755345739603,0.38130101773745684,0.0066756705615484205,0.8794726321022586,0.00311305382629832,0.8394042788487234,0.00461581888993896,118.51559462547304,9.22015708184374
0.1,balanced,0.01,poly,True,0.9073572086468313,0.00375314572267152,0.38128571503812103,0.006585934075986841,0.8794697342465566,0.00306719121920602,0.8394000957889846,0.00454489771541744,340.0129132270813,11.15566084988521
1.0,balanced,0.001,rbf,True,0.9008604045636334,0.00570006214870152,0.36446427437384066,0.00740198702538528,0.8709299501028414,0.00332747493906978,0.8264506070061625,0.00453112025159874,288.1107542514801,13.241375213918538
10.0,balanced,0.0001,rbf,True,0.893342168906577,0.00511939575507004,0.35307563693445043,0.00788026848116296,0.8650853957630067,0.00427392857582476,0.8179704349148793,0.00606154173927968,282.18016214370726,9.218974611499108
10.0,balanced,0.0001,sigmoid,True,0.8772195938607869,0.004580057578905961,0.32736173076221614,0.00617513261727546,0.8502392942831619,0.00396382800075296,0.7974153521375744,0.0056715849187361405,349.06722235679626,20.45851793622203
0.1,balanced,0.001,rbf,True,0.8683027409827524,0.00487031334865502,0.3061510226594334,0.00579542326833802,0.8337999675397884,0.00402260988088478,0.7737713007157452,0.00556933606329722,608.9731887817383,17.9307491380853
1.0,balanced,0.001,sigmoid,True,0.8673714405634374,0.007925175639611261,0.32130756723487375,0.00718911355377944,0.8484470073869657,0.003922786198124939,0.7948345173345174,0.00562562378782544,421.0841421604157,25.25248201330035
10.0,balanced,0.001,poly,True,0.860091043395041,0.0035747223987224004,0.2850554523967847,0.0034957170041627003,0.8134419461297918,0.00331280932592846,0.7461539078205746,0.00460107900686708,434.0027952671051,11.450583274263485
1.0,balanced,0.0001,rbf,True,0.8585747571342294,0.00728684895499454,0.3003777811224121,0.00693134574856614,0.8308898699105584,0.00478988492598392,0.7695568012234679,0.00670802778955554,483.2512959957122,21.22768459846344
10.0,balanced,0.001,sigmoid,True,0.8461578376347791,0.00953683861012294,0.3395949293435214,0.008823033029123201,0.8670983998115462,0.0037448105324478,0.8207608749275416,0.00551361841522696,280.94622149467466,25.645816721704037
0.1,balanced,0.001,sigmoid,True,0.8320731124166552,0.007830907417144919,0.2696604877793088,0.00619672188854776,0.8034260664402681,0.00520581165294134,0.7345623923401701,0.00688604139322258,744.8996728420258,25.281084657239266
1.0,balanced,0.0001,sigmoid,True,0.8318792506700664,0.00799308512088898,0.2694590592690037,0.006473735286893501,0.8029932788632539,0.0052599521613221996,0.7339674934119378,0.0069870771907244,707.7551624774933,43.93333220389222
100.0,balanced,0.001,sigmoid,True,0.831067651138925,0.0125120482877697,0.3255611690386364,0.01141109677625044,0.8592981399133219,0.00506674132703498,0.8121636696636696,0.007066111585529319,140.30231413841247,10.105219962022634
0.1,balanced,0.0001,rbf,True,0.7571522316691367,0.00667607280087836,0.19507708952217812,0.00316229400849258,0.6888340176314618,0.00392668585035972,0.597385505441061,0.0044861920229893795,1100.5817140102386,21.004972031995276
1.0,balanced,0.001,poly,True,0.747954667287698,0.00486832081819178,0.18342109194959322,0.00279088517731458,0.6425624844836014,0.0065980483131306,0.5401827082382638,0.00742475027019132,822.1547831058502,23.315002465485414
0.1,balanced,0.0001,sigmoid,True,0.7042376908160174,0.00544473119246024,0.1600931401167493,0.00229195588797676,0.5832148123641853,0.005593687216451581,0.4714200100311211,0.00576737943138448,1496.6381340026855,16.978666694371604
100.0,balanced,0.0001,poly,True,0.6239621893183552,0.024253620220116838,0.1684990246479447,0.03020494754869706,0.57724271712516,0.0169197206327779,0.5085085285085286,0.020218847079077,345.53674206733706,8.7094505003935
0.1,balanced,0.01,sigmoid,True,0.622563242613975,0.05329730209129774,0.16712687398314047,0.02340355000631494,0.710848282223797,0.04702594139718756,0.613102237268904,0.057898811759949556,629.3467639446259,86.15946766411942
10.0,balanced,scale,sigmoid,True,0.6077987435922414,0.02892956768693276,0.14361629791609437,0.01206120544723068,0.7111111697041063,0.024180125419985536,0.6066308691308692,0.029212038182973583,809.318567276001,92.36641136784633
