C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
1.0,balanced,auto,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,36.45010786056518,3.090730179290917
100.0,balanced,0.1,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,34.73487787246704,4.256037352787154
10.0,balanced,scale,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,34.85307793617248,2.4929296335243847
0.1,balanced,scale,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,37.23739094734192,7.20859255690398
10.0,balanced,auto,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,36.7096432685852,1.5107327953007328
0.1,balanced,auto,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,37.87066512107849,4.0093820227507
10.0,balanced,0.1,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,33.91258969306946,4.1447580414872895
1.0,balanced,0.1,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,39.569808053970334,5.466350470917872
0.1,balanced,0.1,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,70.79662294387818,4.9861575699208505
100.0,balanced,auto,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,34.62410759925842,4.251512446598646
1.0,balanced,scale,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,35.29535264968872,6.110732476032193
100.0,balanced,scale,rbf,True,0.9350594660214064,0.00406304134049496,0.48676924707483105,0.00765421329202722,0.9233130726625861,0.0025614788376765,0.8945396681507793,0.00366840615828904,35.899269580841064,1.9174262040136905
100.0,balanced,0.01,rbf,True,0.92058578181088,0.00417053105217678,0.42489238542362734,0.00790279413514022,0.9014069548976138,0.002815418894278,0.8695396681507793,0.0040465579166302406,41.73476457595825,4.629592837638536
10.0,balanced,0.01,rbf,True,0.9061120976003538,0.0041512387762328,0.39326597998233204,0.00755162580431402,0.8813617749833155,0.0031529126723020204,0.8445396681507793,0.00451171377949696,55.45788130760193,6.690680305041261
